species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300
Lactobacillus vaccinostercus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	14	9	6	5	6	4	1	3	0	3	2	1
Lactobacillus wasatchensis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	6	1	3	0	2	0	1	3	3	1
Leclercia adecarboxylata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	6	7	6	2	4	10	4	3	3
Lelliottia amnigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3428	2973	1900	11937	11884	9838	11383	9924	7666	8329	5826	8346
Limosilactobacillus fermentum	1840000	1840000	1840000	1840000	12026	11915	12272	3510	3528	967	449	558	6972	5257	4196	2978	3219	483	362	171	187	579	424	15884	20958	16569	5712	5551	3703	1291	3153	644	10980	6317	3955
Listeria fleischmannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	6	5	4	0	2	0	1	6	6	3
Listeria grayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	25	26	31	13	18	9	13	9	5	20	21	19
Listeria innocua	0	0	0	0	6	7	3	2	3	1	1	0	10	3	2	3	1	0	0	0	0	1	1	207	227	186	65	74	53	23	27	15	118	64	89
Listeria ivanovii	0	0	0	0	0	1	0	4	1	1	0	1	25	2	1	4	0	0	0	0	0	1	0	240	188	172	65	64	46	15	35	3	100	61	61
Listeria marthii	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	26	27	8	10	2	1	3	1	16	4	5
Listeria monocytogenes	1410000	1410000	1410000	1410000	8794	10101	10320	2369	3415	1144	585	757	5636	4075	2130	2553	2150	518	273	191	201	619	807	11483	12319	10255	2903	4146	2954	1122	2072	575	6535	4001	4844
Listeria riparia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	24	17	17	26	16	12	15	3	17	13	13
Listeria rocourtiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	48	31	21	13	16	12	6	11	5	32	20	8
Listeria seeligeri	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	1	0	364	234	202	85	89	66	28	45	12	135	68	105
Listeria weihenstephanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	23	29	9	9	6	3	2	0	14	8	15
Listeria welshimeri	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	254	243	227	69	76	53	26	43	7	161	98	120
Lysinibacillus fusiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	1	1	1	0	1	2
Lysinibacillus sphaericus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	43	24	36	48	49	20	43	15	51	26	41
Macrococcus brunensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	2	2	0	1	0	1	1	2	0
Melghirimyces thermohalophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	0	0	1	0	0	2	0	1
Mesobacillus persicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	61	44	27	66	74	50	62	47	35	79	28	68
Metabacillus galliciensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	2	1	5	7	3	4	1	2	1	9
Metabacillus litoralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	8	8	20	14	19	12	7	12	12	17
Metakosakonia massiliensis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	91	67	45	290	253	217	226	186	148	166	103	186
Mixta gaviniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	8	9	9	8	8	11	7	2	9
Moraxella osloensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	14	2	2	5	2	6	5	2	0
Morganella morganii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	2	14	15	9	11	15	6	5	6	2
Natribacillus halophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	21	15	46	51	46	20	67	21	31	14	35
Oceanicella actignis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	1	0	3	3	0	4	0	2	2	2
Paenibacillus cookii	0	0	0	0	3	6	3	0	5	2	3	4	4	1	8	2	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	2	0
Paenibacillus sp. FSL P4-0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	3	2	3	5	3	6	2	10
Paenibacillus sp. FSL R7-0331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	1	0	1	2	2
Pantoea agglomerans	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	4	2	1	2	1	3	1
Pantoea ananatis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	7	8	5	7	6	9	6	3	6
Pantoea cypripedii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	3	6	0	2	0	0	0
Pantoea stewartii	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	2	2	3	1	2	1	1
Pantoea vagans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	8	17	10	16	10	6	7	6	8
Parageobacillus thermoglucosidasius	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	14	7	61	42	49	26	42	10	26	28	21
Pectobacterium carotovorum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	41	26	119	165	92	180	164	122	130	71	142
Pectobacterium wasabiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	2	39	25	11	31	16	23	19	12	2
Pediococcus claussenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	4	0	7	3	1	3	0	6	2	1
Photobacterium damselae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	19	7	58	37	41	45	35	26	27	23	26
Planococcus donghaensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	3	4	3	2	0	0	1	0	1
Plesiomonas shigelloides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	5	3	3	1	3	2	2	0	1
Pluralibacter gergoviae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	7	4	4	7	3	7
Pluralibacter pyrinus	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	3	2	24	15	4	17	19	12	20	7	9
Pragia fontium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	2	4	1	2	3	1
Prevotella corporis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	2	2	2	0	0
Providencia rettgeri	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	1	4	2	0	3	0	0
Pseudomonas aeruginosa	420000	420000	420000	420000	844	740	758	6684	2875	3028	2227	3039	1153	1046	2002	179	167	779	1395	637	374	457	445	618	2680	1412	5842	2683	7858	2134	10113	1946	974	656	6891
Pseudomonas agarici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	7	3	3	0	4
Pseudomonas alcaligenes	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	2	6	1	5	1	0	0	13
Pseudomonas amygdali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	6	2	6	1	10	2	2	0	5
Pseudomonas furukawaii	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	6	0	3	1	0	0	1
Pseudomonas graminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	3	3	1	6	0	0	1	1
Pseudomonas knackmussii	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	2	8	2	18	10	24	4	27	2	0	2	21
Pseudomonas koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	4	28	8	11	5	35	8	3	3	25
Pseudomonas kribbensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	8	25	18	24	12	35	10	2	2	34
Pseudomonas marginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	8	0	3	1	0	0	3
Pseudomonas mendocina	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	12	7	24	6	20	5	2	1	12
Pseudomonas moraviensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	5	0	0	0	2
Pseudomonas nitroreducens	0	0	0	0	0	1	0	15	0	0	0	1	1	0	1	0	0	0	2	1	0	0	0	1	4	3	20	8	18	6	17	4	2	4	11
Pseudomonas oleovorans	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	31	10	73	43	75	27	109	23	14	11	93
Pseudomonas otitidis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	1	0	7	0	1	0	2
Pseudomonas panipatensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	7	3	6	1	9	0	0	0	6
Pseudomonas resinovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	1	6	0	12	1	1	1	4
Pseudomonas simiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	4	1	6	1	7	0	0	1	1
Pseudomonas sp. AK6U	0	0	0	0	0	2	3	11	8	8	7	5	3	3	5	1	1	1	1	3	0	0	0	19	76	41	155	82	252	60	276	60	25	15	219
Pseudomonas sp. DR 5-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	5	13	8	20	8	25	4	3	0	24
Pseudomonas sp. JY-Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	5	4	3	7	0	0	0	3
Pseudomonas sp. K2W31S-8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	2	0	2	0	1	0	2
Pseudomonas sp. PE08	0	0	0	0	0	0	0	4	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	3	0	0	1	4
Pseudomonas stutzeri	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	17	7	38	11	38	11	65	8	9	7	37
Pseudomonas synxantha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	9	7	24	6	19	2	1	1	6
Rahnella aquatilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	7	31	12	16	26	8	15	15	7	26
Raoultella planticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	7	0	5	5	5	2	1	6
Salmonella bongori	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	61	51	26	250	236	157	195	177	129	143	93	127
Salmonella enterica	1040000	1040000	1040000	1040000	6292	6878	7299	22564	19170	24129	16796	22328	16113	13097	18224	1579	1335	4130	5114	4399	4293	4103	4267	7293	7117	4276	24597	23673	19913	23804	20958	16128	17514	11974	18257
Salmonella sp. SSDFZ54	0	0	0	0	0	0	0	0	4	2	2	1	0	0	3	0	0	0	1	1	0	0	0	36	45	21	123	87	113	107	98	91	61	61	89
Salmonella sp. SSDFZ69	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	18	31	15	75	74	57	71	63	55	57	26	58
Segniliparus rotundus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	7	5	12	9	12	3	11	4	10	10	12
Serratia marcescens	0	0	0	0	1	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	1	1	0	4	2	1	4	2	1	2	2	6
Serratia odorifera	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	6	2	10	9	1	4	0	9
Serratia symbiotica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	1	35	21	18	29	20	13	17	6	14
Shigella boydii	0	0	0	0	279	296	335	1051	927	1065	757	997	668	604	874	55	65	155	226	203	171	190	199	237	220	152	872	760	644	716	675	532	654	367	640
Shigella dysenteriae	0	0	0	0	1199	1356	1416	4304	3919	4881	3514	4621	3027	2669	3766	304	263	891	1130	845	850	849	966	339	253	157	1036	960	855	984	847	643	749	445	783
Shigella flexneri	0	0	0	0	166	161	167	511	433	651	440	496	458	296	413	34	32	100	89	138	108	91	109	234	172	101	841	708	550	664	628	438	519	289	509
Shigella sonnei	0	0	0	0	234	269	259	817	688	904	658	802	610	505	686	58	31	158	215	185	172	166	172	219	145	76	668	520	435	490	452	375	379	222	366
Shigella sp. PAMC 28760	0	0	0	0	0	2	1	8	7	8	7	7	4	2	6	0	1	3	0	2	0	4	1	7	11	7	48	37	28	30	42	25	29	16	22
Shimwellia blattae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5	9	2	7	3	6	1	0	2
Solibacillus silvestris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	2	5	3	3	0	4	2	4
Sporolactobacillus nakayamae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	1	2	0	1	1	0	3	1	0
Sporosarcina globispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	4	0	3	0	1
Staphylococcus agnetis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	2	1	3	5	1	0	0	1	1	0
Staphylococcus argenteus	0	0	0	0	70	95	94	16	46	8	1	1	15	18	2	30	22	7	2	1	0	3	2	120	129	87	52	52	34	6	12	3	23	16	25
Staphylococcus aureus	1550000	1550000	1550000	1550000	12061	13031	13349	4822	6219	599	341	436	2123	1852	1182	3286	2886	916	443	117	110	219	195	13528	15235	11953	5799	7811	4799	998	2132	613	2798	2151	1937
Staphylococcus auricularis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	3	2	2	2	2	0	3	2	0
Staphylococcus capitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	5	2	5	6	2	2	2	3	3	3
Staphylococcus caprae	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	7	3	7	6	2	0	0	0	3	1	0
Staphylococcus chromogenes	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	9	2	8	10	7	1	2	2	2	1	4
Staphylococcus cohnii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	5	4	5	3	2	1	2	0	1	1	1
Staphylococcus condimenti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	1	3	4	3	0	0	0	0	1	0
Staphylococcus delphini	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	3	0	1	2	1	0	0	0	0	0	0
Staphylococcus epidermidis	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	48	30	28	38	16	1	20	1	16	9	13
Staphylococcus felis	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	11	6	2	4	7	3	3	4	3	9	0	4
Staphylococcus haemolyticus	0	0	0	0	3	1	1	2	0	0	0	0	2	2	0	1	1	0	0	0	0	0	0	19	16	7	6	10	4	1	4	0	2	2	4
Staphylococcus hominis	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	1	3	6	1	1	0	0	4	0	0
Staphylococcus hyicus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	2	2	1	0	1	0	1	0	0
Staphylococcus lugdunensis	0	0	0	0	1	1	0	4	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	75	30	19	14	17	7	4	11	4	8	8	5
Staphylococcus lutrae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	3	5	2	2	3	0	1	0	1	0	1
Staphylococcus nepalensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	2	5	10	5	1	0	0	2	1	0
Staphylococcus pasteuri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	2	5	2	4	0	0	1	2	4	1
Staphylococcus petrasii	0	0	0	0	1	0	0	1	5	0	0	0	6	0	0	2	0	0	0	0	0	0	0	1	3	2	1	1	0	0	0	0	0	0	1
Staphylococcus pettenkoferi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	1	12	3	2	5	4	2	2	3	2
Staphylococcus schleiferi	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	45	39	49	40	31	9	16	5	8	9	13
Staphylococcus schweitzeri	0	0	0	0	4	9	4	3	6	0	0	0	2	0	1	0	2	0	0	0	0	0	0	119	102	69	36	57	35	6	17	7	32	13	13
Staphylococcus sciuri	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	16	7	4	4	5	5	1	3	0	3	0	0
Staphylococcus simiae	0	0	0	0	2	1	1	2	1	0	0	1	5	0	0	3	0	0	0	0	0	0	0	69	83	73	34	32	21	5	10	1	13	9	15
Staphylococcus simulans	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	24	8	5	10	9	5	0	1	0	3	2	2
Staphylococcus sp. AntiMn-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	4	1	1	0	0	0	1	1	0
Staphylococcus stepanovicii	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	0	0	1
Staphylococcus warneri	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	5	2	3	3	0	3	1	1	0	2
Terribacillus aidingensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	8	5	10	5	3	3	0	4	7	6
Thioploca ingrica	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	3	2	0	0	2	1	1	3
Vagococcus teuberi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	3	3	2	2	1	3	0	0	5	1	3
Weissella confusa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	602	382	185	183	107	23	103	18	315	178	96
Weissella koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	24	17	13	9	9	0	4	1	12	7	5
Weissella soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	82	38	14	21	11	8	0	8	0	11	11	4
Yersinia enterocolitica	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	3	0	1	2	0	3
Yersinia pestis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	7	8	11	6	9	10	7	3	3
Zobellella denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	1	2	1	1	0	1
