species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Citrobacter sp. AATXR	0	0	0	0	5	3	3	5	1	2	2	0	6	3	0	1	1	1	1	1	1	3	1	11	10	6	37	22	18	34	30	24	37	15	33
Citrobacter sp. L17	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	3	5	3	4	4	5	7	2	5
Citrobacter sp. L55	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	13	12	11	13	13	8	7	8	15
Citrobacter sp. MGH103	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	10	12	42	53	32	47	40	39	30	23	35
Citrobacter sp. TSA-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	4	4	6	4	6	6	2	4
Citrobacter youngae	0	0	0	0	0	0	0	5	2	2	0	0	10	0	1	1	0	0	0	2	1	0	0	18	29	31	99	107	54	113	65	83	87	48	96
Cohnella sp. SGD-V74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	16	4	8	11	8	11	6	0	6	6	7
Corallincola holothuriorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	5	4	3	5	5	7	9	2	4
Corynebacterium sp. CNJ-954	0	0	0	0	0	1	2	2	1	2	0	1	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronobacter dublinensis	0	0	0	0	2	0	0	0	2	1	2	2	2	3	1	0	1	1	1	0	0	1	0	23	13	3	54	42	44	35	45	21	24	15	25
Cronobacter malonaticus	0	0	0	0	0	0	0	12	1	3	0	0	8	0	2	1	0	0	1	1	0	0	0	3	7	0	28	24	6	26	10	20	26	4	4
Cronobacter muytjensii	0	0	0	0	2	3	1	18	6	11	4	6	20	3	5	0	1	0	2	11	3	1	6	284	264	178	1015	920	677	813	769	577	626	408	627
Cronobacter sakazakii	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	2	2	0	3	5	4	8	4	3	3	2	5
Cronobacter universalis	0	0	0	0	2	2	1	10	6	2	2	7	3	1	5	1	0	0	1	3	3	1	1	8	7	3	22	25	19	24	25	11	17	10	26
Desulfovibrionaceae bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	2	3	0	0	0	2
Dickeya chrysanthemi	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	4	3	2	3	3	1	2	2
Dickeya parazeae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	9	4	5	8	8	5	2	2	0
Dietzia maris	0	0	0	0	2	3	1	1	1	0	2	1	2	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0
Domibacillus iocasae	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	4	1	1	4	1	1	3	0	3	2	5
Edwardsiella ictaluri	0	0	0	0	0	2	0	3	7	1	5	8	2	5	4	0	1	0	1	2	0	1	0	4	3	1	6	6	4	3	5	1	6	1	3
Edwardsiella piscicida	0	0	0	0	1	1	0	0	0	0	1	0	2	0	3	0	0	1	0	0	0	0	0	2	0	0	0	2	1	0	1	0	1	0	0
Eggerthia catenaformis	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	2	1	9	2	3	3	13	1	1	1	8
Enemella evansiae	0	0	0	0	150	165	139	67	75	7	6	5	19	23	13	38	31	12	3	1	1	2	4	170	204	153	80	117	66	12	17	2	33	19	28
Enterobacter bugandensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	5	12	15	5	14	17	8	10	5	23
Enterobacter chengduensis	0	0	0	0	0	0	0	3	3	4	1	2	6	1	1	2	1	0	0	2	1	0	0	1	2	0	3	3	3	7	2	3	2	3	4
Enterobacter cloacae	0	0	0	0	0	2	1	1	6	5	1	3	5	4	6	0	1	1	0	1	1	1	2	0	0	0	4	2	5	2	3	3	2	0	3
Enterobacter cloacae complex sp.	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	4	13	8	37	24	12	53	29	36	22	6	32
Enterobacter cloacae complex sp. ECNIH6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	2	0	3	2
Enterobacter cloacae complex sp. TREC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	11	8	51	53	36	54	59	35	38	30	43
Enterobacter genomosp. O	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	6	0	5	2	0	6	1	2	4
Enterobacter genomosp. S	0	0	0	0	0	0	0	2	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	10	13	7	45	41	26	27	17	17	29	15	24
Enterobacter hormaechei	0	0	0	0	17	20	20	62	50	61	57	59	45	37	51	4	8	9	15	11	11	15	16	128	106	59	445	402	313	386	349	295	281	196	304
Enterobacter kobei	0	0	0	0	2	1	0	7	6	6	4	5	5	1	5	0	0	1	1	2	1	0	0	3	9	2	18	15	9	22	18	22	18	9	22
Enterobacter ludwigii	0	0	0	0	1	1	0	4	4	6	1	1	4	1	0	2	0	0	2	1	1	1	0	42	26	8	130	95	68	70	100	63	58	45	57
Enterobacter mori	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	1	0	3	4	2	0	0
Enterobacter sichuanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	3	0	1	0	0	0	1	4
Enterobacter sp. 10-1	0	0	0	0	0	0	0	3	1	1	0	0	4	1	0	0	0	0	0	1	0	0	0	5	1	0	5	6	4	8	4	7	4	3	7
Enterobacter sp. 50588862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	3	0	3	2	4
Enterobacter sp. 50793107	0	0	0	0	2	3	3	45	17	8	5	7	51	4	3	5	0	4	4	9	5	5	1	0	0	0	3	3	3	4	2	1	3	1	1
Enterobacter sp. 50858885	0	0	0	0	0	0	0	5	1	0	1	2	10	0	2	1	0	1	0	2	1	0	0	26	11	9	72	61	39	80	64	51	43	34	42
Enterobacter sp. 638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	1	2	1	1	0	0	0	0
Enterobacter sp. 9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	3	8	3	2	0	4
Enterobacter sp. Ag1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	1	3	0	1
Enterobacter sp. AM17-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	2	3	1	3	0	1
Enterobacter sp. BIDMC 26	0	0	0	0	0	0	1	1	0	1	0	0	4	0	0	1	0	0	0	0	0	0	0	0	3	1	7	7	6	4	6	5	6	1	4
Enterobacter sp. BIDMC 27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	158	98	700	668	533	571	604	388	419	292	508
Enterobacter sp. BIDMC 28	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	79	47	331	318	236	254	268	176	220	113	225
Enterobacter sp. BIDMC 29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	8	30	26	15	26	23	31	23	14	33
Enterobacter sp. BIDMC 30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	6	8	7	9	6	5	5	3	9
Enterobacter sp. BIDMC92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	24	19	20	27	14	22	16	12	21
Enterobacter sp. BWH 37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	149	93	571	547	482	437	464	364	392	256	366
Enterobacter sp. CGMCC 5087	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	5	3	1	5	0	0	1	3	5
Enterobacter sp. Crenshaw	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	2	18	17	9	28	20	9	19	4	14
Enterobacter sp. CRENT-193	0	0	0	0	6	5	4	15	15	17	9	16	8	12	9	2	0	3	4	2	4	0	2	258	236	152	898	893	701	835	786	599	584	400	563
Enterobacter sp. DC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	3	2	2	1	0
Enterobacter sp. EC-NT1	0	0	0	0	0	2	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	0	0	20	22	14	68	70	52	60	54	45	42	50	37
Enterobacter sp. GER_MD16_1505_Eko_090	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	3	1	1	3	1	3	6	1	1
Enterobacter sp. HK169	0	0	0	0	1	1	0	2	2	4	2	2	0	1	3	0	0	0	0	0	0	0	0	5	4	5	27	35	18	32	20	14	16	7	27
Enterobacter sp. HMSC055A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	1	1	0	1	1	1	1	0
Enterobacter sp. HN503E2II	0	0	0	0	3	0	2	12	3	4	5	4	5	2	1	1	1	1	0	3	0	0	0	0	0	0	0	3	1	3	0	1	0	1	1
Enterobacter sp. J49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	3	1	0	0	0	2
Enterobacter sp. K66-74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	4	1	2	1	1	1	2	2
Enterobacter sp. KINAN-G	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	2	9	1	3	5	1	2
Enterobacter sp. ku-bf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	5	10	4	5	5	1	4	1	2
Enterobacter sp. MGH 1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	40	18	17	117	106	77	106	102	72	70	44	71
Enterobacter sp. MGH 10	0	0	0	0	1	0	0	1	2	0	0	0	6	0	0	0	0	0	1	0	0	0	0	89	64	41	316	281	212	225	231	178	185	130	188
Enterobacter sp. MGH 14	0	0	0	0	19	11	23	50	38	54	26	41	46	21	32	2	2	7	7	12	8	6	10	313	271	140	1005	956	746	899	848	568	667	461	610
Enterobacter sp. MGH 15	0	0	0	0	0	0	0	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	144	121	67	458	390	333	369	327	228	257	163	284
Enterobacter sp. MGH 22	0	0	0	0	1	1	1	12	6	12	1	1	22	1	4	2	0	0	1	2	1	1	1	2	11	6	23	23	7	28	21	14	27	13	19
Enterobacter sp. MGH 23	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	5	8	34	30	18	40	21	16	13	10	24
Enterobacter sp. MGH 24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	5	23	24	14	30	16	15	20	11	15
Enterobacter sp. MGH 25	0	0	0	0	6	4	2	17	10	9	4	8	25	2	5	3	1	0	2	6	1	3	1	5	5	5	11	13	8	12	6	12	5	10	6
Enterobacter sp. MGH 3	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	121	95	40	384	363	311	320	305	215	241	171	250
Enterobacter sp. MGH 33	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	101	97	55	356	365	287	324	300	236	256	159	235
Enterobacter sp. MGH 37	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	7	2	9	13	6	12	5	5	13	12	12
Enterobacter sp. MGH 38	0	0	0	0	130	139	147	425	421	486	358	495	336	268	408	42	24	106	119	67	98	84	107	259	257	150	988	875	675	836	778	559	609	403	652
Enterobacter sp. MGH 4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	68	57	27	205	176	146	190	183	106	151	98	137
Enterobacter sp. MGH 6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	26	108	87	86	99	86	75	74	38	67
Enterobacter sp. MGH 7	0	0	0	0	0	0	0	1	3	1	0	0	2	1	1	0	0	0	0	0	0	0	0	208	198	115	706	626	492	582	595	424	407	303	453
Enterobacter sp. PN108E5IIB	0	0	0	0	0	0	0	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	1	0	1	0	1	1
Enterobacter sp. RC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	28	23	14	22	19	13	17	11	14
Enterobacter sp. SENG-6	0	0	0	0	0	0	0	4	1	3	0	0	11	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	2	1	3	1	2
Enterobacter sp. ST121:950178628	0	0	0	0	0	0	0	6	1	2	0	2	2	0	2	0	0	0	0	0	0	0	0	26	14	5	75	69	69	70	56	58	55	44	47
Enterobacter sp. UCD-UG_FMILLET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	1	0	4	0	2	1	3	0
Enterobacteriaceae bacterium ENNIH1	0	0	0	0	0	0	1	4	0	3	1	2	2	0	1	0	0	0	0	2	0	0	0	31	22	8	86	64	43	47	54	36	41	27	49
Enterococcus asini	0	0	0	0	6	4	4	1	3	0	0	0	5	4	3	0	2	0	0	0	1	0	1	54	115	94	53	64	29	21	11	6	79	50	68
Enterococcus avium	0	0	0	0	1	1	3	3	2	1	1	1	6	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus caccae	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	2	2	2	3	0	0	1	4	0	5	1	1
Enterococcus canintestini	0	0	0	0	1	1	2	1	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	19	34	23	16	13	14	6	7	6	23	26	14
Enterococcus canis	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	18	25	27	7	11	8	7	4	2	22	17	12
Enterococcus casseliflavus	0	0	0	0	0	0	1	1	1	0	0	0	2	2	0	1	0	0	0	0	0	0	0	7	4	4	2	0	2	0	0	1	2	2	1
Enterococcus dispar	0	0	0	0	1	1	1	2	0	1	0	1	4	1	1	0	0	0	0	0	0	0	1	66	144	119	61	84	39	39	20	19	118	83	101
Enterococcus durans	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	1
Enterococcus faecalis	990000	990000	990000	990000	9170	9906	10334	4373	6710	1763	862	1193	7743	6563	4109	2517	2297	968	498	231	330	1476	1202	5668	5651	4741	2762	3924	2325	871	1455	489	4825	3174	3009
Enterococcus faecium	0	0	0	0	35	28	32	26	24	6	1	3	81	22	14	11	8	2	5	1	0	12	3	1	0	2	0	0	1	0	0	0	2	0	1
Enterococcus gallinarum	0	0	0	0	1	0	3	1	0	1	0	0	5	1	0	1	0	0	0	0	0	0	0	14	30	34	12	16	13	7	5	6	41	18	22
Enterococcus haemoperoxidus	0	0	0	0	104	109	91	54	70	23	13	27	95	81	47	38	32	9	10	3	2	19	7	7	7	4	8	4	2	0	1	0	10	3	2
Enterococcus hirae	0	0	0	0	10	20	8	43	21	8	2	1	218	16	2	24	4	0	1	4	2	7	4	0	1	0	1	0	0	1	0	0	1	1	0
Enterococcus moraviensis	0	0	0	0	30	37	46	21	30	4	3	2	65	27	11	17	10	2	3	0	1	8	5	4	3	2	3	2	3	0	0	0	3	3	2
Enterococcus mundtii	0	0	0	0	5	11	12	8	7	2	0	1	17	5	3	2	2	1	0	0	0	2	4	1	0	0	0	1	0	0	0	0	0	0	0
Enterococcus phoeniculicola	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	0	55	96	95	50	83	36	31	22	13	77	45	71
Enterococcus plantarum	0	0	0	0	49	48	54	20	39	10	2	5	32	30	10	18	9	3	4	2	3	12	7	2	4	3	3	3	1	0	0	0	3	3	1
Enterococcus pseudoavium	0	0	0	0	1	3	0	3	0	0	0	0	7	3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0
Enterococcus raffinosus	0	0	0	0	1	3	2	16	7	0	0	0	45	1	1	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
Enterococcus saccharolyticus	0	0	0	0	1	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	16	32	19	11	17	5	6	5	3	16	8	18
Enterococcus silesiacus	0	0	0	0	256	270	227	119	169	40	22	30	214	167	130	65	54	30	15	6	8	44	26	1	3	2	0	2	0	0	1	0	2	0	1
Enterococcus sp. 10A9_DIV0425	0	0	0	0	0	1	1	9	1	1	0	0	14	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus sp. C1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	3	0	0	1	0	1	0	0	0	1	1	1
Enterococcus sp. CR-Ec1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	7	4	0	3	0	2	2	1	0	3	0	3
Enterococcus sp. FDAARGOS_375	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	3	3	3	0	2	2	0	2	0	1	3	1
Enterococcus sp. HMSC073E09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	590	524	490	285	396	227	75	151	47	477	328	277
Enterococcus sp. HMSC078F03	0	0	0	0	211	234	228	80	140	41	21	34	181	141	102	53	66	22	16	1	3	35	29	607	631	486	264	425	253	87	155	54	560	337	310
Enterococcus sp. HPCN18	0	0	0	0	2	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	15	6	5	36	29	18	5	28	10	12	9	11
Enterococcus sulfureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	204	152	122	44	45	28	9	30	1	79	34	50
Enterococcus termitis	0	0	0	0	33	33	25	36	19	4	1	1	62	23	11	17	5	2	4	1	2	8	7	9	5	4	5	3	1	1	4	0	5	5	0
Enterococcus ureilyticus	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	2	1	1
Erwinia sp. AG740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	13	10	5	10	7	2	6	2	2
Erwinia sp. Ejp617	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	13	18	14	78	84	60	107	63	70	78	30	58
Erwinia sp. OLSSP12	0	0	0	0	0	0	2	0	0	1	0	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0
Escherichia albertii	0	0	0	0	13	12	12	45	22	43	28	41	45	28	37	4	4	3	16	10	8	10	14	325	297	140	1247	938	673	990	883	616	742	413	645
Escherichia coli	1010000	1010000	1010000	1010000	6155	6876	7262	21665	19605	24377	17556	23080	15315	13471	18735	1355	1285	4293	5112	4208	4002	4241	4302	3044	2435	1466	9786	9644	8099	9131	8080	6210	6732	4733	6886
Escherichia fergusonii	0	0	0	0	435	473	546	1694	1526	1946	1363	1698	1417	1074	1474	131	112	345	379	374	346	318	372	276	290	161	1107	1115	797	1043	877	626	760	456	782
Escherichia marmotae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	4	2	2	2	0	1
Escherichia sp. 1_1_43	0	0	0	0	226	247	253	732	734	823	623	772	529	440	657	71	37	167	186	159	151	142	155	157	92	69	426	438	359	371	346	262	294	182	270
Escherichia sp. 4_1_40B	0	0	0	0	13	9	8	44	35	29	32	40	37	30	39	2	5	8	9	6	10	7	4	164	113	80	519	444	370	460	434	305	377	215	312
Escherichia sp. 4726-5	0	0	0	0	3	6	3	28	16	26	9	9	19	12	12	2	3	2	4	7	4	1	5	1	3	2	2	4	3	6	6	3	4	3	3
Escherichia sp. ESNIH1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	7	7	0	0	3	1	2	1	1
Escherichia sp. KTE159	0	0	0	0	0	0	0	7	5	6	1	3	8	0	2	0	0	1	0	2	0	0	0	1	0	0	2	2	1	1	1	3	1	2	0
Escherichia sp. KTE172	0	0	0	0	47	43	51	364	213	266	153	208	335	104	131	16	9	37	63	66	49	30	36	350	286	186	1162	1047	841	1070	932	731	791	544	721
Escherichia sp. KTE52	0	0	0	0	33	26	26	170	99	138	75	92	149	75	88	9	6	25	24	27	29	23	18	0	0	1	0	3	2	1	0	0	2	0	2
Escherichia sp. KTE96	0	0	0	0	16	11	25	87	63	62	48	62	79	32	40	9	3	15	18	19	17	14	14	12	2	4	24	27	21	16	20	12	13	9	11
Escherichia sp. MOD1-EC6475	0	0	0	0	2	2	8	10	9	22	15	11	9	7	12	3	2	2	5	7	2	1	0	51	38	22	141	111	82	114	133	66	79	55	86
Escherichia sp. R8	0	0	0	0	10	11	15	76	36	52	29	26	88	27	20	5	0	11	9	14	7	7	8	2	4	2	9	10	9	11	6	8	8	3	11
Evansella caseinilytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	4	2	1	1	3
Evansella cellulosilytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	33	8	18	11	8	3	10	3	14	1	7
Exiguobacterium sp. Leaf196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	2	0	0	0	0	0	0	1	0
Exiguobacterium sp. N4-1P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	10	4	7	4	3	1	2	0	9	4	2
Exiguobacterium sp. RIT341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	2	4	6	6	1	1	0	7	2	2
Exiguobacterium sp. RIT594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	1	1	1	0	1	0	1	0	1
Exiguobacterium sp. SH31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	9	7	4	4	2	1	2	0	7	4	2
Fictibacillus solisalsi	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	0	1	0	4	3	6	1	2	1	1
Firmicutes bacterium HGW-Firmicutes-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	2	2	0	1	1	0	0	0
Flavobacterium tructae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	1	0	0	1	3	0	2
Franconibacter pulveris	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	22	19	97	113	69	129	96	74	92	50	91
Furfurilactobacillus siliginis	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	0	2	2	0	1	0	0	1	0
Geobacillus thermoleovorans	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2	1	2	1	1	2	0	0
Gottfriedia luciferensis	0	0	0	0	0	0	0	9	4	0	0	0	55	4	1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	3	0	1
Gracilibacillus dipsosauri	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	2	1	0	0	0	4	0	0
Grimontella sp. AG753	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	6	7	8	4	3	5	2	0	2
Grimontia celer	0	0	0	0	0	2	1	0	2	0	0	1	1	1	1	2	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	2	0
Haemophilus sp. HMSC066D02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	4	3	2	0	3	1	2	3
