tax.identity	sample	count	superkingdom	phylum	class	order	family	genus	species
Bradyrhizobium sacchari	sample_17	9	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sacchari
Bradyrhizobium shewense	sample_17	5	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium shewense
Bradyrhizobium sp.	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp.
Bradyrhizobium sp. AC87j1	sample_17	5	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. AC87j1
Bradyrhizobium sp. AT1	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. AT1
Bradyrhizobium sp. BTAi1	sample_17	14	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. BTAi1
Bradyrhizobium sp. C9	sample_17	9	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. C9
Bradyrhizobium sp. CCGE-LA001	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. CCGE-LA001
Bradyrhizobium sp. DOA1	sample_17	5	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. DOA1
Bradyrhizobium sp. DOA9	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. DOA9
Bradyrhizobium sp. G22	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. G22
Bradyrhizobium sp. Gha	sample_17	27	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Gha
Bradyrhizobium sp. Ghvi	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Ghvi
Bradyrhizobium sp. LMTR 3	sample_17	4	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LMTR 3
Bradyrhizobium sp. LTSP849	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP849
Bradyrhizobium sp. LTSP857	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP857
Bradyrhizobium sp. LTSP885	sample_17	5	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSP885
Bradyrhizobium sp. LTSPM299	sample_17	16	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. LTSPM299
Bradyrhizobium sp. Leaf396	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Leaf396
Bradyrhizobium sp. MOS002	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. MOS002
Bradyrhizobium sp. MOS003	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. MOS003
Bradyrhizobium sp. MOS004	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. MOS004
Bradyrhizobium sp. OK095	sample_17	4	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. OK095
Bradyrhizobium sp. ORS 375	sample_17	10	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. ORS 375
Bradyrhizobium sp. Rc2d	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Rc2d
Bradyrhizobium sp. SK17	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. SK17
Bradyrhizobium sp. STM 3843	sample_17	10	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. STM 3843
Bradyrhizobium sp. UFLA03-84	sample_17	4	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. UFLA03-84
Bradyrhizobium sp. WSM1253	sample_17	4	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. WSM1253
Bradyrhizobium sp. Y36	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. Y36
Bradyrhizobium sp. YR681	sample_17	6	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. YR681
Bradyrhizobium sp. cf659	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. cf659
Bradyrhizobium symbiodeficiens	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium symbiodeficiens
Bradyrhizobium valentinum	sample_17	12	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium valentinum
Bradyrhizobium vignae	sample_17	12	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium vignae
Branchiibius hedensis	sample_17	5	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermacoccaceae	Branchiibius	Branchiibius hedensis
Branchiibius sp. NY16-3462-2	sample_17	3	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Dermacoccaceae	Branchiibius	Branchiibius sp. NY16-3462-2
Brenneria goodwinii	sample_17	2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Brenneria	Brenneria goodwinii
Brenneria roseae	sample_17	7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Brenneria	Brenneria roseae
Brenneria salicis	sample_17	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Brenneria	Brenneria salicis
Brenneria sp. EniD312	sample_17	4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Brenneria	Brenneria sp. EniD312
Breoghania corrubedonensis	sample_17	13	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Breoghaniaceae	Breoghania	Breoghania corrubedonensis
Brevibacillus agri	sample_17	2	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus agri
Brevibacillus borstelensis	sample_17	6	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus borstelensis
Brevibacillus brevis	sample_17	4	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus brevis
Brevibacillus centrosporus	sample_17	53	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus centrosporus
Brevibacillus choshinensis	sample_17	11	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus choshinensis
Brevibacillus formosus	sample_17	12	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus formosus
Brevibacillus fortis	sample_17	6	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus fortis
Brevibacillus laterosporus	sample_17	14	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus laterosporus
Brevibacillus parabrevis	sample_17	3	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus parabrevis
Brevibacillus porteri	sample_17	2	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus porteri
Brevibacillus reuszeri	sample_17	5	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus reuszeri
Brevibacillus sp.	sample_17	45	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp.
Brevibacillus sp. BC25	sample_17	3	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. BC25
Brevibacillus sp. CF112	sample_17	6	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. CF112
Brevibacillus sp. Leaf182	sample_17	39	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. Leaf182
Brevibacillus sp. SKDU10	sample_17	2	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. SKDU10
Brevibacillus sp. VP	sample_17	6	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. VP
Brevibacillus sp. WF146	sample_17	23	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. WF146
Brevibacterium antiquum	sample_17	1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium antiquum
Brevibacterium aurantiacum	sample_17	5	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium aurantiacum
Brevibacterium casei	sample_17	3	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium casei
Brevibacterium celere	sample_17	3	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium celere
Brevibacterium jeotgali	sample_17	3	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium jeotgali
Brevibacterium linens	sample_17	9	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium linens
Brevibacterium luteolum	sample_17	2	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium luteolum
Brevibacterium paucivorans	sample_17	1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium paucivorans
Brevibacterium siliguriense	sample_17	15	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium siliguriense
Brevibacterium sp.	sample_17	1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium sp.
Brevibacterium sp. HMSC063G07	sample_17	4	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium sp. HMSC063G07
Brevibacterium sp. HMSC07C04	sample_17	5	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium sp. HMSC07C04
Brevibacterium sp. HMSC22B09	sample_17	1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium sp. HMSC22B09
Brevibacterium sp. Mu109	sample_17	1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium sp. Mu109
Brevibacterium yomogidense	sample_17	1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium yomogidense
Brevirhabdus pacifica	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Brevirhabdus	Brevirhabdus pacifica
Brevundimonas diminuta	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas diminuta
Brevundimonas naejangsanensis	sample_17	11	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas naejangsanensis
Brevundimonas nasdae	sample_17	5	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas nasdae
Brevundimonas sp.	sample_17	22	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp.
Brevundimonas sp. 374	sample_17	8	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. 374
Brevundimonas sp. AAP58	sample_17	9	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. AAP58
Brevundimonas sp. EAKA	sample_17	4	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. EAKA
Brevundimonas sp. KM4	sample_17	7	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. KM4
Brevundimonas sp. LM2	sample_17	9	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. LM2
Brevundimonas sp. Leaf168	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. Leaf168
Brevundimonas sp. Leaf280	sample_17	7	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. Leaf280
Brevundimonas sp. Leaf363	sample_17	9	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. Leaf363
Brevundimonas sp. MYb27	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. MYb27
Brevundimonas sp. MYb31	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. MYb31
Brevundimonas sp. MYb46	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. MYb46
Brevundimonas sp. MYb52	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. MYb52
Brevundimonas sp. Root1279	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. Root1279
Brevundimonas sp. Root608	sample_17	13	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. Root608
Brevundimonas sp. SH203	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. SH203
Brevundimonas sp. ZS04	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. ZS04
Brevundimonas subvibrioides	sample_17	8	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas subvibrioides
Brevundimonas vesicularis	sample_17	14	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas vesicularis
Brevundimonas viscosa	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas viscosa
Breznakibacter xylanolyticus	sample_17	22	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinilabiliaceae	Breznakibacter	Breznakibacter xylanolyticus
Brochothrix thermosphacta	sample_17	3	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Brochothrix	Brochothrix thermosphacta
Brucella anthropi	sample_17	7	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella anthropi
Brucella canis	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella canis
Brucella cytisi	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella cytisi
Brucella grignonensis	sample_17	7	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella grignonensis
Brucella inopinata	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella inopinata
Brucella intermedia	sample_17	4	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella intermedia
Brucella neotomae	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella neotomae
Brucella oryzae	sample_17	6	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella oryzae
Brucella pituitosa	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella pituitosa
Brucella pseudogrignonensis	sample_17	5	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella pseudogrignonensis
Brucella rhizosphaerae	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella rhizosphaerae
Brucella sp. 09RB8471	sample_17	4	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella sp. 09RB8471
Brucella sp. B13-0095	sample_17	3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella sp. B13-0095
Brucella sp. BO2	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella sp. BO2
Brucella sp. F5/99	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella sp. F5/99
Brucella sp. NF 2653	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella sp. NF 2653
Brucella suis	sample_17	1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella suis
Brucella thiophenivorans	sample_17	8	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella thiophenivorans
Brucella vulpis	sample_17	2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella vulpis
Brumimicrobium aurantiacum	sample_17	5	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	Brumimicrobium aurantiacum
Brumimicrobium salinarum	sample_17	3	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	Brumimicrobium salinarum
Brumimicrobium sp. C305	sample_17	5	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	Brumimicrobium sp. C305
Bryocella elongata	sample_17	7	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Bryocella	Bryocella elongata
Buchananella hordeovulneris	sample_17	4	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Buchananella	Buchananella hordeovulneris
Buchnera aphidicola	sample_17	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola
Budvicia aquatica	sample_17	44	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Budviciaceae	Budvicia	Budvicia aquatica
Burkholderia aenigmatica	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia aenigmatica
Burkholderia ambifaria	sample_17	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ambifaria
Burkholderia anthina	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia anthina
Burkholderia catarinensis	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia catarinensis
Burkholderia cenocepacia	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
Burkholderia cepacia	sample_17	6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia
Burkholderia contaminans	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia contaminans
Burkholderia diffusa	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia diffusa
Burkholderia dolosa	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia dolosa
Burkholderia gladioli	sample_17	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia gladioli
Burkholderia glumae	sample_17	8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae
Burkholderia humptydooensis	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia humptydooensis
Burkholderia mallei	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia mallei
Burkholderia oklahomensis	sample_17	17	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia oklahomensis
Burkholderia plantarii	sample_17	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia plantarii
Burkholderia pseudomallei	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei
Burkholderia puraquae	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia puraquae
Burkholderia pyrrocinia	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pyrrocinia
Burkholderia reimsis	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia reimsis
Burkholderia savannae	sample_17	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia savannae
Burkholderia seminalis	sample_17	5	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia seminalis
Burkholderia singularis	sample_17	4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia singularis
Burkholderia sp. 117	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. 117
Burkholderia sp. 2002721687	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. 2002721687
Burkholderia sp. A27	sample_17	6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. A27
Burkholderia sp. ABCPW 11	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. ABCPW 11
Burkholderia sp. ABCPW 14	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. ABCPW 14
Burkholderia sp. AD24	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AD24
Burkholderia sp. AU12872	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU12872
Burkholderia sp. AU15512	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU15512
Burkholderia sp. AU16741	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU16741
Burkholderia sp. AU17457	sample_17	3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU17457
Burkholderia sp. AU27893	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU27893
Burkholderia sp. AU31280	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU31280
Burkholderia sp. AU31652	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU31652
Burkholderia sp. AU4i	sample_17	1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. AU4i
Burkholderia sp. BDU5	sample_17	2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp. BDU5
